j,0x400,0x800,0x800,0xfe4,0x7f4,0x000,0x000
k,0x3fe,0x3ff,0x060,0x0f0,0x198,0x30c,0x204 
l,0x000,0x000,0x000,0x3fe,0x3ff,0x000,0x000
m,0x3fc,0x3f8,0x004,0x3f8,0x004,0x3fc,0x3f8
n,0x3fc,0x3f8,0x004,0x004,0x004,0x3fc,0x3f8
o,0x1f0,0x3f8,0x304,0x204,0x20c,0x1fc,0x0f8
p,0xffc,0xff8,0x104,0x104,0x104,0x1fc,0x0f8
q,0x0f8,0x1fc,0x104,0x104,0x084,0xffc,0xffc
r,0x3fc,0x3f8,0x004,0x004,0x004,0x00c,0x008
s,0x118,0x23c,0x224,0x264,0x244,0x3c4,0x188
t,0x000,0x004,0x004,0x3fe,0x3ff,0x004,0x004
u,0x1fc,0x3fc,0x200,0x200,0x200,0x1fc,0x3fc  
v,0x0fc,0x1fc,0x300,0x300,0x300,0x1fc,0x0fc
w,0x1fc,0x1fc,0x200,0x1fc,0x200,0x3fc,0x1fc
x,0x30c,0x39c,0x070,0x020,0x060,0x3dc,0x30c
y,0x83c,0xc7c,0x6c0,0x380,0x180,0x0fc,0x07c
z,0x30c,0x384,0x2c4,0x264,0x234,0x21c,0x20c  
{,0x020,0x020,0x1fc,0x3de,0x603,0x401,0x401
|,0x000,0x000,0x000,0xfff,0x000,0x000,0x000     
},0x401,0x401,0x603,0x3de,0x1fc,0x020,0x020
~,0x060,0x038,0x018,0x070,0x0c0,0x0e0,0x030
¡,0x000,0x000,0xfec,0xfcc,0x000,0x000,0x000
¢,0x0e0,0x110,0x110,0x3f8,0x110,0x110,0x000
£,0x210,0x1fe,0x2ff,0x211,0x211,0x211,0x102
¤,0x104,0x0a8,0x050,0x050,0x050,0x0a8,0x104
¥,0x000,0x057,0x05f,0x3f8,0x3f8,0x05f,0x057
¦,0x000,0x000,0x000,0xf9f,0x000,0x000,0x000
§,0x200,0x464,0x49a,0x492,0x592,0x262,0x004
¨,0x000,0x000,0x002,0x000,0x000,0x002,0x000
©,0x1f0,0x208,0x2f4,0x294,0x294,0x104,0x0f8
«,0x020,0x050,0x088,0x124,0x050,0x088,0x104
´,0x000,0x004,0x002,0x002,0x001,0x001,0x000
»,0x104,0x088,0x050,0x124,0x088,0x050,0x020 
¿,0x700,0xd80,0x8ec,0x86c,0x800,0xc00,0x400 
À,0x3e0,0x3f1,0x049,0x04a,0x04a,0x3f4,0x3e0
Á,0x3e0,0x3f4,0x04a,0x04a,0x049,0x3f1,0x3e0
Â,0x3e0,0x3f4,0x04a,0x049,0x04a,0x3f4,0x3e0
Ã,0x3e0,0x3f2,0x049,0x049,0x04a,0x3f2,0x3e1
Ä,0x3e0,0x3f0,0x04a,0x048,0x048,0x3f2,0x3e0
Å,0x3e0,0x3f0,0x04a,0x04d,0x04d,0x3f2,0x3e0
Æ,0x3f8,0x026,0x021,0x3ff,0x221,0x221,0x221
Ç,0x0fc,0x1fe,0x201,0xa01,0xe01,0x102,0x186
È,0x3f8,0x249,0x249,0x24a,0x24a,0x24c,0x208
É,0x3f8,0x24c,0x24a,0x24a,0x249,0x249,0x208
Ê,0x3f8,0x24c,0x24a,0x249,0x24a,0x24c,0x208
Ë,0x3f8,0x248,0x24a,0x248,0x248,0x24a,0x208
Ì,0x208,0x209,0x3f9,0x3fa,0x20a,0x20c,0x000
Í,0x208,0x20c,0x3fa,0x3fa,0x209,0x209,0x000
Î,0x208,0x20c,0x3fa,0x3f9,0x20a,0x20c,0x000
Ï,0x208,0x20a,0x3f8,0x3f8,0x20a,0x208,0x000
Ð,0x020,0x3ff,0x3ff,0x221,0x303,0x1fe,0x0fc
Ñ,0x3f8,0x3f2,0x021,0x041,0x082,0x1fa,0x3f9 
Ò,0x1f0,0x3f8,0x305,0x205,0x20e,0x1fc,0x0f8
Ó,0x1f0,0x3f8,0x306,0x205,0x20d,0x1fc,0x0f8
Ô,0x1f0,0x3f8,0x306,0x205,0x20e,0x1fc,0x0f8
Õ,0x1f0,0x3fa,0x305,0x205,0x20e,0x1fe,0x0f9
Ö,0x1f0,0x3f8,0x305,0x204,0x20c,0x1fd,0x0f8
×,0x104,0x088,0x050,0x020,0x050,0x088,0x104
Ø,0x2f8,0x104,0x1c2,0x132,0x10e,0x082,0x07d
Ù,0x1f8,0x3f9,0x201,0x202,0x202,0x3fc,0x1f8
Ú,0x1f8,0x3fc,0x202,0x202,0x201,0x3f9,0x1f8
Û,0x1f8,0x3fc,0x202,0x201,0x202,0x3fc,0x1f8 
Ü,0x1f8,0x3f8,0x202,0x200,0x200,0x3fa,0x1f8
Ý,0x038,0x07c,0x3c2,0x3c2,0x079,0x039,0x000
à,0x180,0x3c1,0x251,0x252,0x352,0x1f4,0x3e0
á,0x180,0x3c4,0x252,0x252,0x351,0x1f1,0x3e0
â,0x180,0x3c4,0x252,0x251,0x352,0x1f4,0x3e0  
ã,0x180,0x3c4,0x252,0x252,0x354,0x1f4,0x3e2
ä,0x180,0x3c0,0x254,0x250,0x350,0x1f4,0x3e0
å,0x180,0x3c0,0x252,0x255,0x355,0x1f2,0x3e0
æ,0x1c8,0x224,0x224,0x3fc,0x224,0x228,0x1b0
ç,0x0f0,0x1f8,0x204,0xa04,0xe04,0x108,0x090
è,0x0e0,0x1f1,0x249,0x24a,0x24a,0x254,0x160
é,0x0e0,0x1f4,0x24a,0x24a,0x249,0x251,0x160
ê,0x0e0,0x1f4,0x24a,0x249,0x24a,0x254,0x160
ë,0x0e0,0x1f0,0x24a,0x248,0x248,0x252,0x160
ì,0x000,0x000,0x002,0x3f2,0x3f4,0x004,0x008  
í,0x000,0x008,0x004,0x3f4,0x3f2,0x002,0x000
î,0x000,0x008,0x004,0x3f2,0x3f4,0x008,0x000
ï,0x000,0x000,0x004,0x3f0,0x3f0,0x004,0x000 
ñ,0x3f8,0x3f2,0x009,0x009,0x00a,0x3f2,0x3f1
ò,0x1e0,0x3f1,0x309,0x20a,0x21a,0x1fc,0x0f0
ó,0x1e0,0x3f4,0x30a,0x20a,0x219,0x1f9,0x0f0
ô,0x1e0,0x3f4,0x30a,0x209,0x21a,0x1fc,0x0f0
õ,0x1e0,0x3f2,0x309,0x209,0x21a,0x1fa,0x0f1
ö,0x1e0,0x3f0,0x30a,0x208,0x218,0x1fa,0x0f0
÷,0x000,0x020,0x020,0x0a8,0x020,0x020,0x000
ø,0x2f0,0x108,0x1c4,0x134,0x10c,0x084,0x07a
ù,0x1f0,0x3f1,0x201,0x202,0x202,0x1f4,0x3f0
ú,0x1f0,0x3f4,0x202,0x202,0x201,0x1f1,0x3f0
û,0x1f0,0x3f4,0x202,0x201,0x202,0x1f4,0x3f0
ü,0x1f0,0x3f0,0x204,0x200,0x200,0x1f4,0x3f0 
ý,0x838,0xc78,0x6c4,0x382,0x182,0x0f9,0x079
ÿ,0x838,0xc78,0x6c2,0x380,0x180,0x0fa,0x078 
€,0x028,0x1fe,0x3ff,0x229,0x229,0x229,0x102   
⍨,0x300,0x190,0x090,0x100,0x210,0x310,0x180
☃,0x684,0x95c,0x827,0x807,0x827,0x95c,0x684
☠,0xc60,0xc66,0x29f,0x11f,0x29f,0xc66,0xc60
☹,0x1f8,0x284,0x452,0x442,0x452,0x284,0x1f8
☺,0x0f8,0x144,0x292,0x282,0x292,0x144,0x0f8
☻,0x0f8,0x1bc,0x36e,0x37e,0x36e,0x1bc,0x0f8
♡,0x01c,0x062,0x186,0x208,0x186,0x062,0x01c
♥,0x01c,0x07e,0x1fe,0x3f8,0x1fe,0x07e,0x01c
〠,0x16a,0x26a,0x20a,0x27a,0x20a,0x26a,0x16a
